ilan no,Price,City,Town,Date,Neighbourhood,Tapu Status,Structure Status,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting,Seller,Swap
4606,1.455.000,İstanbul (Avr),Esenyurt,08/04/24,Güzelyurt Mahallesi,kat mülkiyet,sıfır,95,1+1,1,0,30,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4801,4.750.000,Kocaeli,Kartepe,19/03/24,Sarımeşe Mahallesi,kat ittifakı,betonerme,150,3+1,1,0,2,Yerden Isıtma,Evet,Sahibinden,Evet
4786,3.200.000,İstanbul (Avr),Beylikdüzü,08/04/24,Dereağzı Mahallesi,kat mülkiyet,sıfır,115,2+1,1,0,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4612,3.180.000,Balıkesir,Altıeylül,29/01/24,Bahçelievler Mahallesi,Kat İrtifaklı,-,130,2+1,1,5-10 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Evet
4869,4.800.000,İstanbul (Avr),Beylikdüzü,08/04/24,Adnan Kahveci Mahallesi,KAT MÜLKİYET İSKANLI,SIFIR BETONERME,170,3+1,2,0,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4487,800.000,Bolu,Merkez,09/01/24,,-,yeni,100,3+1,1,,-,,,,
4488,1.280.000,Sakarya,Karasu,09/01/24,,-,yeni,160,4+2,2,,-,Doğalgaz (Kombi),Hayır,İnşaat Firması,Hayır
4221,2.500.000,İzmir,Menemen,12/01/24,Gazi Mahallesi,KAT MÜLKİYETİ,-,85,2+1,1,1,8,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4583,1.250.000,İstanbul (Avr),Beylikdüzü,27/01/24,Cumhuriyet Mahallesi,KAT MÜLKİYET TAPULU,YENİ,75,1+1,1,4,12,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4676,1.600.000,İstanbul (Avr),Esenyurt,08/04/24,Mehterçeşme Mahallesi,kat mülkiyet,sıfır,125,2+1,1,0,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4588,1.150.000,İstanbul (Avr),Esenyurt,27/01/24,Güzelyurt Mahallesi,KAT MÜLKİYET TAPULU,YENİ,95,2+1,2,4,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4613,1.100.000,İstanbul (Avr),Esenyurt,08/04/24,Mehterçeşme Mahallesi,kat mülkiyet,sıfır,110,2+1,1,0,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4586,1.250.000,İstanbul (Avr),Esenyurt,27/01/24,Mehterçeşme Mahallesi,kat mülkiyet,boş,100,2+1,1,0,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4590,2.350.000,İstanbul (Avr),Beylikdüzü,27/01/24,Adnan Kahveci Mahallesi,KAT MÜLKİYET TAPULU,YENİ,115,2+1,2,1,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4603,1.050.000,İstanbul (Avr),Esenyurt,28/01/24,,kat mülkiyet,boş,100,2+1,1,0,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4857,1.420.009,Bursa,Osmangazi,06/04/24,Demirtaş Cumhuriyet Mahallesi,Kat mulkiyet,-,145,3+1,1,11-15 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
4115,1.450.000,Muğla,Bodrum,19/10/23,Yalıkavak Mahallesi,müstakil,yeni,250,4+3,3,3,3,Yerden Isıtma,Evet,Sahibinden,Hayır
4614,2.000.000,İstanbul (Avr),Esenyurt,30/01/24,İncirtepe Mahallesi,kat mülkiyet,boş,130,2+1,1,4,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4050,3.125.000,Balıkesir,Gömeç,11/10/23,Kemalpaşa Mahallesi,arsa tapulu,2. el,1100,,1,5-10 arası,1,Soba,,Emlak Ofisi,Evet
4591,1.890.000,İstanbul (Avr),Esenyurt,27/01/24,Güzelyurt Mahallesi,KAT MÜLKİYET TAPULU,YENİ,110,2+1,2,2,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4093,2.600,İzmir,Bayraklı,14/10/23,Postacılar Mahallesi,Kat mulkiyetli,imarli,80,2+1,1,0,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
4584,1.570.000,İstanbul (Avr),Beylikdüzü,27/01/24,Adnan Kahveci Mahallesi,KAT MÜLKİYET TAPULU,YENİ,70,1+1,1,4,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
1976,4.050.000,Bursa,Nilüfer,26/10/23,Esentepe Mahallesi,Kat mülkiyeti,Betonarme,135,3+1,2,16-20 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Evet
4130,2.775.000,Ankara,Sincan,22/10/23,Menderes Mahallesi,Kat Mülkiyetli,Sıfır,Brüt 135 metrekare,3+1,2,,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
4176,1.250.000,Tekirdağ,Süleymanpaşa,08/11/23,Zafer Mahallesi,Kat İrtifakı,Betonarme,68,1+1,1,3,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
4101,1.650.000,Mersin,Akdeniz,16/10/23,Mesudiye Mahallesi,Var,Var,120,3+1,1,31 ve üzeri,7,Klima,Evet,Sahibinden,Hayır
4185,498.500,Kırıkkale,Yahşihan,09/11/23,Yenişehir Mahallesi,KAT İRTİFAKLI,8 YILLIK,55,1,1,5-10 arası,10,Merkezi Sistem,Hayır,Sahibinden,Hayır
4186,4.300.000,İstanbul (Asya),Kartal,10/11/23,Hürriyet Mahallesi,kat mülkiyeti,ikinci el,110,3+1,1,5-10 arası,7,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
4105,3.250.000.000,Mersin,Erdemli,16/10/23,Kızkalesi Mahallesi,Açıklanır,-,75,3+1,1,,10,Klima,Hayır,Sahibinden,Hayır
4211,1.415.000,İstanbul (Avr),Esenyurt,18/11/23,Yenikent Mahallesi,kat irtifaklı,boş,110,3+1,1,0,7,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4514,1.750.000,Osmaniye,Kadirli,11/01/24,Bağ Mahallesi,-,23-30 senelik,140 m2,3+1,1,21-25 arası,2,Klima,Hayır,Sahibinden,Hayır
4229,1.450.000,İstanbul (Avr),Beylikdüzü,22/11/23,Cumhuriyet Mahallesi,kat irtifaklı,boş,110,3+1,1,0,6,Doğalgaz (Kombi),Evet,,Evet
4228,5.050.000,Bursa,Nilüfer,21/11/23,Altınşehir Mahallesi,Kat Mülkiyetli,İkinci El,180,4+1,1,16-20 arası,9,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
4210,1.430.000,İstanbul (Avr),Esenyurt,18/11/23,Güzelyurt Mahallesi,kat irtifaklı,boş,110,3+1,1,0,6,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
4236,1.455.000,İstanbul (Avr),Beylikdüzü,23/11/23,Kavaklı Mahallesi,kat irtifaklı,boş,110,3+1,1,0,6,Doğalgaz (Kombi),Evet,,Evet
4224,1.290.000,Trabzon,Sürmene,21/11/23,Zeytinli Mahallesi,Mevcuttur,-,90,2+1,1,5-10 arası,10,Doğalgaz Sobası,,Sahibinden,
2054,4.950.000,Malatya,Yeşilyurt,07/12/23,Tecde Mahallesi,Kat Mülkiyeti,-,235,4+1,2,0,11,Merkezi Sistem,Evet,Emlak Ofisi,Hayır
365,12.000,Karabük,Safranbolu,30/01/24,Emek Mahallesi,kat irtifağı tapusu,betonarme,122,2+1,1,2,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3231,1.900.000,Ankara,Sincan,28/12/23,Hürriyet Mahallesi,kat mülkiyeti,-,140,3+1,1,11-15 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Evet
3878,11.500.000,Adana,Seyhan,07/01/24,Cemalpaşa Mahallesi,KAT irtifakı,Boş daire,161,4+1,2,5-10 arası,8,Doğalgaz Sobası,Hayır,Sahibinden,Hayır
4238,1.460.000,İstanbul (Avr),Beylikdüzü,23/11/23,Beylikdüzü OSB,kat irtifaklı,boş,110,3+1,1,0,6,Doğalgaz (Kombi),Evet,,Evet
4462,2.600.000,İstanbul (Avr),Kağıthane,30/12/23,Harmantepe Mahallesi,Arsa Tapulu,Betonarme,80,1+1,1,,6,Doğalgaz (Kombi),Hayır,Sahibinden,Evet
4662,2.500.000,İstanbul (Asya),Maltepe,05/02/24,Bağlarbaşı Mahallesi,-,-,100,3+1,2,0,2,Doğalgaz (Kombi),Evet,İnşaat Firması,Evet
4697,3.000.000,Balıkesir,Burhaniye,16/02/24,Öğretmenler Mahallesi,kat mülkiyeti,ikinci el,80 m2,2+1,1,21-25 arası,2,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
4428,1.150.000,Samsun,İlkadım,24/12/23,Kadıköy Mahallesi,Kat İrtifakı,-,90,2+1,1,21-25 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
4239,1.650.000,Balıkesir,Erdek,23/11/23,Atatürk Mahallesi,-,-,80,2+1,1,26-30 arası,2,Yerden Isıtma,Evet,Sahibinden,
3719,1.470.000,Ankara,Sincan,30/08/23,İstasyon Mahallesi,Kat mülkiyeti,30 yıl,116,3+1,1,26-30 arası,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3771,1.800.000,Bilecik,Bilecik (il merkezi),01/09/23,Osmangazi Mahallesi,KAT MÜLKİYETİ,BETONARME,135,3+1,1,16-20 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3841,1.400.000,İstanbul (Avr),Küçükçekmece,08/09/23,Kanarya Mah.,Hisseli,-,-,1+1,1,21-25 arası,6,Doğalgaz Sobası,Hayır,Sahibinden,Hayır
3858,4.300.000,Kocaeli,Darıca,11/09/23,Nenehatun Mahallesi,MÜSTAKİL TAPU,BİNA,177,3+1,1,11-15 arası,3,Doğalgaz (Kombi),Hayır,Emlak Ofisi,Hayır
4701,6.750.000,Balıkesir,Burhaniye,17/02/24,Öğretmenler Mahallesi,kat irtifakı,sıfır,200m2 / 140m2,4+1,2,0,2,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
4698,4.750.000,Balıkesir,Burhaniye,16/02/24,Ören Mahallesi,kat mülkiyeti,ikinci el,200m2 / 180m2,3+1,1,21-25 arası,2,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
3880,2.900.000,Aydın,Kuşadası,14/09/23,İkiçeşmelik Mahallesi,Var,iskani var,160,3+1,1,11-15 arası,-,Klima,Evet,Sahibinden,Hayır
3873,2.540.000,İstanbul (Avr),Esenyurt,12/09/23,Namık Kemal Mahallesi,İrtifak,2.El,70,1+1,1,4,39,Merkezi Sistem,Evet,Emlak Ofisi,Hayır
3501,3.550.000,Zonguldak,Merkez,28/08/23,Terakki Mahallesi,müstakil,kagir,180,4+1,2,16-20 arası,2,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3960,8.000.000,Antalya,Manavgat,30/09/23,Ilıca Mahallesi,kat mülkiyeti,betonarme,200,4+1,2,11-15 arası,3,Kat Kaloriferi,Evet,Sahibinden,Hayır
3850,1.850.000,İstanbul (Asya),Sultanbeyli,10/09/23,Mimar Sinan Mahallesi,Kat itifakli,Betonarme,100,2+1,1,0,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3922,3.500.000,İzmir,Buca,24/09/23,Kaynaklar Merkez Mahallesi,Hisseli,Prefabrik,520m2,2+1,1,5-10 arası,Bahceli tekkat,Klima,Hayır,Sahibinden,Hayır
3936,12.000.000,İstanbul (Asya),Kadıköy,27/09/23,Erenköy Mahallesi,Mülkiyet,Yeni,85 net,2+1,1,5-10 arası,12,,,Sahibinden,Hayır
3421,1.480.000,Kocaeli,Kartepe,10/07/23,Ataşehir Mahallesi,Kat mülkiyeti,İkinci el,100,2+1,2,11-15 arası,3,Merkezi Sistem,Evet,Sahibinden,Hayır
2050,4.250.000,Malatya,Yeşilyurt,07/12/23,Karakavak Mahallesi,KAT İRTİFAKI,-,235,4+1,2,0,12,Merkezi Sistem,,Emlak Ofisi,Hayır
3466,2.050,Kocaeli,Kartepe,11/07/23,Ataevler Mahallesi,KAT MÜLKİYETLİ,-,117,2+1,1,5-10 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3460,11.000.000,Antalya,Muratpaşa,10/07/23,Çağlayan Mahallesi,Kat irtifakı,Dubleks,175 brüt 155 net,3+2,2,11-15 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3500,2.900.000,Adana,Seyhan,14/07/23,Yeşilyurt Mahallesi,Mal sahibi,Betonarme,170,3+1,1,21-25 arası,9,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
3502,3.000.000,İstanbul (Avr),Küçükçekmece,14/07/23,Cumhuriyet Mah.,Arsa Tapulu,İSKANLI,150,3+1,1,21-25 arası,5,Doğalgaz (Kombi),Hayır,Sahibinden,Hayır
3443,9.500.000,İzmir,Dikili,08/07/23,Salihler Mahallesi,-,Boş,333,6+1,3,0,3,Klima,Evet,Sahibinden,Evet
2209,1.900.000,İzmir,Balçova,20/07/23,Eğitim Mahallesi,-,-,80,2+1,1,21-25 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Evet
2211,2.800.000,İzmir,Balçova,20/07/23,Eğitim Mahallesi,-,-,100,2+1,1,21-25 arası,4,Doğalgaz (Kombi),Evet,Sahibinden,Evet
2212,2.800.000,İzmir,Balçova,20/07/23,Teleferik Mahallesi,-,-,80,2+1,1,16-20 arası,5,Jeotermal,Evet,Sahibinden,Evet
3442,1.990.000,İstanbul (Avr),Sultangazi,08/07/23,Cebeci Mahallesi,KAT İRTİFAKLI,-,105,2+1,1,11-15 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3515,980.000,İstanbul (Avr),Esenyurt,18/07/23,Ardıçlı Mahallesi,-,-,90,1+1,1,5-10 arası,4,Doğalgaz (Kombi),,Sahibinden,Hayır
3940,4.250,Tekirdağ,Marmaraereğlisi,28/09/23,Dereağzı Mahallesi,KAT İTİFAKLI,BETONARME,200,5+1,3,0,3,Doğalgaz (Kombi),,Sahibinden,Evet
3364,2.275.000,Tekirdağ,Çorlu,27/07/23,Yenice Mahallesi,Kat mülkiyetli,Betonarme,95,2+1,1,21-25 arası,3,Yok,Evet,Sahibinden,Evet
3579,4.500.000,Bursa,Nilüfer,28/07/23,Ataevler Mahallesi,sahibinden,yeni,146,3+1,2,0,10,Yerden Isıtma,Evet,Sahibinden,Hayır
3589,11.750.000,Adana,Çukurova,02/08/23,Karslılar Mahallesi,Kat mülkiyetli,-,300,3+1,2,3,4,Doğalgaz (Kombi),Evet,Sahibinden,Evet
3590,1.350.000,Ankara,Mamak,02/08/23,Misket Mahallesi,KAT MÜLKİYETLİ,SIFIR,80,2+1,1,2,4,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3567,1.500.000,Yalova,Armutlu,27/07/23,Bayır Mahallesi,Kat Mülkiyeti,Betonarme,90,2+1,1,21-25 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3597,2,Muğla,Bodrum,04/08/23,Güvercinlik Mahallesi,-,-,60,2+1,2,1,1,Klima,Hayır,Sahibinden,Hayır
3592,82.000,Ankara,Mamak,14/08/23,Abidinpaşa Mahallesi,Bağımsız,20 yaş,100,3+1,1,16-20 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3676,1.600.000,İstanbul (Avr),Başakşehir,19/08/23,Başakşehir Mahallesi,Kat mülkiyetli,-,700,6+2,3,0,4,Yerden Isıtma,Evet,Sahibinden,Evet
3314,1.000.000,İzmir,Konak,25/07/23,Levent Mahallesi,VAR,VAR,150,3+1,1,31 ve üzeri,4,Klima,Hayır,Sahibinden,Hayır
3182,4.250.000,İstanbul (Avr),Beylikdüzü,17/05/23,Adnan Kahveci Mahallesi,var,daire,185,3+1,2,16-20 arası,11,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
3633,3.000.000,Mersin,Erdemli,12/08/23,Arpaçbahşiş Mahallesi,-,-,-,2+1,2,,9,,Hayır,Sahibinden,Hayır
2570,3.050.000,Bursa,Mudanya,22/07/23,Halitpaşa Mahallesi,kat irtifaklı,-,125,2+1,3,,4,Yerden Isıtma,Evet,Emlak Ofisi,Evet
3174,1.250.000,Tekirdağ,Süleymanpaşa,26/05/23,100. Yıl Mahallesi,KAT MÜLKİYETİ,BOŞ,100,2+1,1,5-10 arası,4,Doğalgaz (Kombi),Evet,Sahibinden,Evet
3222,6.700.000,İstanbul (Asya),Beykoz,26/05/23,Göztepe Mahallesi,var,betonarme,150,3+1,1,21-25 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3199,7.850.000,Tekirdağ,Çorlu,21/05/23,Türkgücü Mahallesi,kat mülkiyeti,bitmiş,220,5+2,1,5-10 arası,bahçeli,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3221,5.300.000,Adana,Seyhan,27/05/23,Yenibaraj Mahallesi,MÜSTAKİL,BETONARME,230,4+1,2,11-15 arası,14,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3266,4.450.000,İstanbul (Asya),Ümraniye,02/06/23,Çakmak Mahallesi,DAİRE TAPUSU,UYGUN,85,2+1,1,5-10 arası,12,Merkezi Sistem,Evet,Sahibinden,Hayır
3198,1.650,Kırklareli,Merkez,21/05/23,Karacaibrahim Mahallesi,Müstakil tapu,Boş,140,3+1,1,16-20 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3272,2.870.000,İstanbul (Avr),Başakşehir,02/06/23,Kayabaşı Mahallesi,TAPULU,SIFIR,155,3+2,3,2,3,Doğalgaz (Kombi),Evet,Sahibinden,Evet
3320,1.200.000,Eskişehir,Tepebaşı,11/06/23,Yenibağlar Mahallesi,Kat mülkiyetli,-,75,1+1,1,16-20 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3290,1.200.000,İzmir,Çiğli,07/06/23,Küçük Çiğli Mahallesi,Kat irtifakı,İkinci el,45,Stüdyo,1,5-10 arası,3,Yok,Evet,Emlak Ofisi,Hayır
2945,1.975.000,Mersin,Yenişehir,18/04/23,Batıkent Mahallesi,Kat irtifakı,Yeni,75,2+1,1,4,7,Klima,,Sahibinden,Hayır
3342,4.750.000,İzmir,Urla,13/06/23,Sıra Mahallesi,var,betonarme,150,2+1,1,0,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3583,6.950.000,İstanbul (Avr),Bağcılar,29/07/23,Mahmutbey Mahallesi,arsa imarlı,betonarme,200,2+1,1,21-25 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
2872,600.000,Antalya,Kemer,11/04/23,Çamyuva Mahallesi,Müstakil,1996,135,4+1,2,21-25 arası,2,,Evet,Sahibinden,
2873,1.680.000,Bursa,İnegöl,11/04/23,Yenice Mahallesi,İrtifak,Sıfır,110,2+1,2,0,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
3335,15.000.000,İstanbul (Avr),Silivri,12/06/23,Semizkumlar Mahallesi,KAT MÜLKİYET,BOŞ,290,6+2,2,21-25 arası,3,Klima,Evet,Sahibinden,Evet
2917,1.500.000,İstanbul (Avr),Esenyurt,14/04/23,Merkez Mahallesi,Kat İrtifaklı,5-10 ARASI,200,4+2,2,5-10 arası,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
2920,3.400.000,İstanbul (Avr),Esenyurt,14/04/23,Namık Kemal Mahallesi,Mülkiyet,2.El,157,3+1,2,4,24,Merkezi Sistem,Evet,Emlak Ofisi,Hayır
3246,38.000.000,İzmir,Çeşme,31/05/23,Reisdere Mahallesi,-,-,147,4+1,1,31 ve üzeri,2,Yok,Evet,Sahibinden,Hayır
676,2.250.000,Ankara,Mamak,18/04/23,Şahintepe Mahallesi,VAR,-,300,5+1,2,11-15 arası,5,Doğalgaz (Kombi),Evet,Sahibinden,
3044,2.600.000,İzmir,Karabağlar,24/04/23,Fahrettin Altay Mahallesi,KAT MÜLKİYETİ,-,100,2+1,1,31 ve üzeri,5,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
1578,2.250.000,Ankara,Mamak,18/04/23,Şahintepe Mahallesi,VAR,BET.,300,5+1,2,11-15 arası,7,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3048,1.800.000,İstanbul (Asya),Adalar,26/04/23,,Eşdeğer,Proejden,72,1+1,1,0,11,Klima,Evet,Sahibinden,Hayır
3337,8.000.000,İstanbul (Asya),Beykoz,12/06/23,Anadolu Hisarı Mahallesi,Hisseli,İzinle yapılabiliyor,187 m2,3+1,2,21-25 arası,1,Doğalgaz (Kombi),,Sahibinden,Hayır
3113,4.100.000,Bolu,Mengen,03/05/23,,arsa,-,1382,3+1,1,26-30 arası,3,Soba,Hayır,Sahibinden,Hayır
3085,2.000.000,İstanbul (Avr),Büyükçekmece,28/04/23,Çakmaklı Mahallesi,var,imari,105,2+1,1,11-15 arası,12,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
3117,12.000.000,İstanbul (Avr),Büyükçekmece,03/05/23,Sinanoba Mahallesi,KAT İRTİFAKLI,-,285,5+1,2,16-20 arası,3,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
2794,21.850.000,İstanbul (Avr),Çatalca,04/05/23,Kalfa Mahallesi,MÜSTAKİL TAPU,5-10 ARASI,21000,3+1,1,5-10 arası,TEK KAT,Soba,Evet,Emlak Ofisi,Hayır
2245,2.200.000,Samsun,Atakum,04/05/23,İncesu Yalı Mahallesi,-,-,-,1+1,1,0,7,Kat Kaloriferi,Evet,Sahibinden,Evet
2842,5.750.000,İstanbul (Avr),Şişli,08/04/23,Meşrutiyet Mahallesi,-,-,110,3+1,2,16-20 arası,5,Merkezi Sistem,Evet,Sahibinden,Hayır
2651,2.795.000,İstanbul (Avr),Eyüp,09/05/23,Güzeltepe Mahallesi,KATMÜLKİYETİ,"2,EL",130,3+1,1,5-10 arası,7,Doğalgaz (Kombi),Evet,Sahibinden,Evet
3147,2.301,Adana,Karaisalı,08/05/23,Karapınar Mahallesi,Kat mülkiyeti,-,130,3+1,1,5-10 arası,5,Klima,Evet,Sahibinden,
3160,15.000.000,İstanbul (Asya),Pendik,12/05/23,Çamlık Mahallesi,KAT MULKIYETLI,15,350,6+1,5,16-20 arası,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Evet
2925,3.750.000,İstanbul (Avr),Çatalca,14/04/23,Kaleiçi Mahallesi,MÜSTAKİL TAPU,5-10 ARASI,135,3+1,2,5-10 arası,4,Doğalgaz (Kombi),Evet,Emlak Ofisi,Hayır
3173,6.000.000,Ankara,Çankaya,16/05/23,Hilal Mahallesi,Kat Mülkiyeti,-,270,6+2,3,16-20 arası,3,Doğalgaz (Kombi),Evet,Sahibinden,Hayır
