ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting
137571,5734365.0,Kocaeli,Darıca,Yalı Mah.,180,5+1,4,İnşaat Halinde,3,Doğalgaz (Kombi),Evet
124228,700000,Trabzon,Ortahisar,,65,1+1,1,30+,2,Doğalgaz (Kombi),Bilinmiyor
103295,6012500.0,İstanbul,Silivri,Cumhuriyet Mah.,180,4+2,2,1 Yaşından Küçük,3,Doğalgaz (Kombi),Bilinmiyor
123916,35750000.0,İstanbul,Beykoz,Polonezköy Mah.,320,5+1,2,1 Yaşından Küçük,5,Doğalgaz (Kombi),Evet
127798,82875000.0,Tekirdağ,Şarköy,Aşağıkalamış Mah.,550 m² villa kullanım alanı,5,4,5-10 Arası,3,Merkezi Sistem,Evet
130326,1950000,Yalova,Merkez,Adnan Menderes Mah.,170,4+1,3,4,2,Doğalgaz (Kombi),Evet
108263,13000000.0,İstanbul,Silivri,Kavaklı Mah.,190,3+1,3,4,2,Doğalgaz (Kombi),Evet
107936,28600000.0,İstanbul,Üsküdar,Bulgurlu Mah.,96,1+1,1,1 Yaşından Küçük,30+,Merkezi Sistem,Evet
107183,26000000.0,Düzce,Merkez,Şehit Murat Demir Mah.,290,5+2,2,5-10 Arası,2,Yerden Isıtma,Evet
107834,11700000.0,Sakarya,Arifiye,Türkçaybaşı Mah.,176,5+1,3,4,2,Klima,Evet
119416,40625000.0,İstanbul,Kadıköy,Acıbadem Mah.,350,6+2,3,5-10 Arası,4,Merkezi Sistem,Evet
122281,2500000,Düzce,Merkez,Darıcı Mah.,200,4+2,3,Sıfır,2,Yerden Isıtma,Evet
108730,4225000.0,Çanakkale,Gelibolu,Hoca Hamza Mah.,100,3+2,3,İnşaat Halinde,3,Yerden Isıtma,Evet
122115,2300000,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mah.,210,5+1,3,4,3,Doğalgaz (Kombi),Evet
129353,42000000,İstanbul,Zeytinburnu,Kazlıçeşme Mah.,160,3+1,3,1 Yaşından Küçük,11,Merkezi Sistem,Evet
112603,990000,Trabzon,Akçaabat,Çolaklı Mah.,150,2+1,,30+,3,,
78831,3250000.0,Sakarya,Kocaali,Alandere Mah.,165,3+1,3,Sıfır,3,Doğalgaz (Kombi),Evet
63313,11700000.0,İstanbul,Esenyurt,Pınar Mah.,,,,,,,
62687,58175000.0,İstanbul,Büyükçekmece,Atatürk Mah.,200,4+1,2,11-15 Arası,4,Doğalgaz (Kombi),Evet
150225,6000000,İzmir,Foça,Yenibağarası Mah.,165,4+1,2,1 Yaşından Küçük,1,Yerden Isıtma,Evet
110730,5950000,Antalya,Muratpaşa,Güzeloluk Mah.,145,3+1,1,11-15 Arası,11,Doğalgaz (Kombi),Hayır
64150,2300000,Aydın,Kuşadası,Güzelçamlı Mah.,122,4+1,2,İnşaat Halinde,2,Yerden Isıtma,Bilinmiyor
69556,1950000,Bolu,Merkez,Yeniköy Mah.,300,5+2,3,11-15 Arası,3,Merkezi Sistem,Evet
70017,4225000.0,İstanbul,Kağıthane,Hamidiye Mah.,150,4+2,2,11-15 Arası,7,Doğalgaz (Kombi),Evet
64264,9262500.0,İstanbul,Büyükçekmece,Celaliye Mah.,320,4+3,3,16-20 Arası,4,Doğalgaz (Kombi),Evet
70974,11700000.0,Muğla,Fethiye,Patlangıç Mah.,,5+1,3,,4,Isı Pompası,Evet
167767,65000000.0,Muğla,Köyceğiz,Toparlar Mah.,,,,,,,
74490,10075000.0,Yalova,Çınarcık,Koru Köyü,168,4+1,2,Sıfır,2,Doğalgaz (Kombi),Evet
71110,10000000,Antalya,Serik,Belek Mah.,190,4+1,2,11-15 Arası,2,Klima,Evet
62313,14625000.0,İstanbul,Arnavutköy,Karaburun Mah.,337,8+4,4,26-30 Arası,4,Doğalgaz (Kombi),Evet
48056,10150000,Antalya,Demre,Büyükkum Mah.,220,4+1,3,11-15 Arası,2,Klima,Evet
71741,8190000.0,Mersin,Silifke,Göksu Mah.,210,4+1,2,5-10 Arası,6,Klima,Evet
49415,1155000,Kocaeli,Derince,Çınarlı Mah.,183,3+2,2,5-10 Arası,3,Doğalgaz (Kombi),Evet
47701,7475000.0,Sakarya,Serdivan,Beşköprü Mah.,250,5+1,3,11-15 Arası,4,Doğalgaz (Kombi),Evet
45347,350000,Yalova,Armutlu,Karşıyaka Mah.,50,1+1,1,İnşaat Halinde,4,Doğalgaz (Kombi),Evet
51935,9750000,Kocaeli,İzmit,Yassıbağ Mah.,308,4+2,3,11-15 Arası,3,Doğalgaz (Kombi),Evet
47376,3380000.0,İstanbul,Bağcılar,Mahmutbey Mah.,,,,,,,
61006,4500000,Mersin,Mezitli,Tece Mah.,240,4+1,2,5-10 Arası,3,Klima,Evet
57060,108875000.0,İstanbul,Beşiktaş,Ortaköy Mah.,350,9+2,4,16-20 Arası,5,Doğalgaz (Kombi),Evet
32690,12187500.0,İstanbul,Silivri,Kavaklı Mah.,200,3+1,3,3,2,Doğalgaz (Kombi),
58331,23800000,Antalya,Muratpaşa,Selçuk Mah.,150,3+2,2,30+,2,Klima,Evet
32688,3650000,İstanbul,Beylikdüzü,Cumhuriyet Mah.,150,3+1,2,5-10 Arası,1,Doğalgaz (Kombi),Hayır
65351,32500000.0,İstanbul,Avcılar,Firuzköy Mah.,235,4+2,Var,Yok çünkü aile binası,3,21-25 Arası,Hayır
31742,2000000,Manisa,Akhisar,Yenidoğan Mah.,420,3+1,2,1 Yaşından Küçük,2,Merkezi Sistem,Hayır
34832,975000,Sakarya,Sapanca,Soğuksu Mah.,240,5+1,3,21-25 Arası,3,Doğalgaz (Kombi),Evet
48781,1850000,Sakarya,Adapazarı,Poyrazlar Mah.,170,4+1,2,5-10 Arası,2,Merkezi Sistem,Bilinmiyor
38184,3250000,Bursa,Yıldırım,Hamamlıkızık Mah.,180,9+3,3,11-15 Arası,3,Merkezi Sistem,Evet
44037,2500000,Antalya,Alanya,Cikcilli Mah.,200,4+1,2,5-10 Arası,5,Klima,Evet
42467,1200000,Trabzon,Akçaabat,Yıldızlı Mah.,230,4+1,2,5-10 Arası,6,Doğalgaz (Kombi),Evet
36495,23400000.0,İstanbul,Ümraniye,Atakent Mah.,380,8+2,0,Evet,3,,Boş
44597,1375000,İstanbul,Silivri,Gümüşyaka Merkez Mah.,185,4+1,3,11-15 Arası,3,Doğalgaz (Kombi),Evet
44936,39000000.0,İstanbul,Üsküdar,Burhaniye Mah.,150,3+1,1,5-10 Arası,4,Doğalgaz (Kombi),Bilinmiyor
31151,1500000,İzmir,Dikili,,,5+1,3,26-30 Arası,3,Soba,Evet
34092,650000,Trabzon,Of,Sulaklı Mah.,240,3+1,2,,12,Doğalgaz (Kombi),
30051,8125000.0,Antalya,Kemer,Merkez Mah.,,4+1,3,11-15 Arası,3,Klima,Hayır
30178,24375000.0,İstanbul,Fatih,Şehremini Mah.,,8+3,3,5-10 Arası,3,Doğalgaz (Kombi),Evet
60721,1100000,İstanbul,Beykoz,Ortaçeşme Mah.,251,4+1,1,30+,1,Soba,Bilinmiyor
29922,2700000,İstanbul,Beyoğlu,,,5,5,30+,5,Doğalgaz (Kombi),Evet
30690,4221750.0,Ankara,Yenimahalle,Turgut Özal Mah.,,5+1,3,5-10 Arası,13,Doğalgaz (Kombi),Evet
30783,3000000,Balıkesir,Ayvalık,Gazi Kemal Paşa Mah.,,4+1,Hayır,Var,1,1,Klima
30712,1100000,İstanbul,Şile,,,4+1,3,11-15 Arası,2,Doğalgaz (Kombi),Evet
30121,36400000.0,İstanbul,Adalar,Büyükada-nizam Mah.,,4+2,4,11-15 Arası,3,Yerden Isıtma,Evet
30844,52500000,Antalya,Muratpaşa,Şirinyalı Mah.,,5+1,4,4,7,Yerden Isıtma,Bilinmiyor
30904,7475000.0,Kocaeli,Başiskele,,,5+2,3,11-15 Arası,4,Doğalgaz (Kombi),Evet
61941,17875000.0,Antalya,Konyaaltı,Sarısu Mah.,400,6+1,2,5-10 Arası,3,Doğalgaz (Kombi),Evet
28797,8125000.0,İstanbul,Beşiktaş,Bebek Mah.,,2+1,1,26-30 Arası,3,Merkezi Sistem,Evet
30276,4000000,İstanbul,Bakırköy,Şenlikköy Mah.,,4+1,2,11-15 Arası,5,Doğalgaz (Kombi),Bilinmiyor
28975,3975000,İstanbul,Beylikdüzü,Dereağzı Mah.,,10 ve üzeri,6,5-10 Arası,3,Doğalgaz (Kombi),Evet
28956,4500000,İstanbul,Beşiktaş,Etiler Mah.,,4+1,2,30+,3,Doğalgaz (Kombi),Evet
29193,4225000.0,Antalya,Manavgat,Çolaklı Mah.,,2+1,1,16-20 Arası,2,Klima,Evet
28843,1899000,Antalya,Kaş,,,2+1,1,Sıfır,1,Klima,
30168,4062500.0,İstanbul,Esenyurt,Akevler Mah.,,2+1,2,5-10 Arası,4,Merkezi Sistem,Evet
29369,1200000,İstanbul,Beyoğlu,Çukur Mah.,,3+1,1,30+,5,Doğalgaz (Kombi),
29921,45500000.0,Sakarya,Serdivan,Çubuklu Mah.,,8+2,5,5-10 Arası,2,Yerden Isıtma,Evet
29609,13000000.0,İstanbul,Bakırköy,Şenlikköy Mah.,,3+1,,21-25 Arası,3,,
29000,2400000,İzmir,Buca,Yeşilbağlar Mah.,,3+1,,,4,Doğalgaz (Kombi),Evet
27488,7150000.0,Bursa,Mudanya,,,3+1,1,26-30 Arası,4,Klima,Evet
27405,1550000,İstanbul,Maltepe,Çınar Mah.,,6+2,2,5-10 Arası,4,Doğalgaz (Kombi),Evet
27658,6175000.0,İstanbul,Fatih,Hırka-i Şerif Mah.,,3+1,1,26-30 Arası,6,Doğalgaz (Kombi),Hayır
29526,2500000,İstanbul,Fatih,Haseki Sultan Mah.,,6+2,3,30+,5,Doğalgaz (Kombi),Evet
27947,3000000,Kocaeli,Karamürsel,,,7+1,4,11-15 Arası,4,Doğalgaz (Kombi),Evet
29216,5687500.0,Bursa,Mudanya,Bademli Mah.,,5+1,2,16-20 Arası,3,Doğalgaz (Kombi),Evet
29876,850000,Sakarya,Geyve,,,4+1,3,11-15 Arası,3,Merkezi Sistem,Evet
27672,10000000,İstanbul,Beykoz,Rüzgarlıbahçe Mah.,,4+1,2,26-30 Arası,2,Doğalgaz (Kombi),Bilinmiyor
28251,9750000.0,Aydın,Kuşadası,Soğucak Mah.,,4+1,4,2,2,Klima,Evet
28257,6500000.0,Ankara,Keçiören,Kavacık Subayevleri Mah.,,4+1,2,11-15 Arası,7,Doğalgaz (Kombi),Evet
28845,2300000,Antalya,Kaş,,,4+1,Sıfır,,3,Hayır,Hayır
28465,1200000,İstanbul,Başakşehir,Başak Mah.,,3+1,2,11-15 Arası,9,Doğalgaz (Kombi),Evet
28122,2300000,İstanbul,Kağıthane,Seyrantepe Mah.,,3+1,2,İnşaat Halinde,12,Doğalgaz (Kombi),Hayır
26752,2500000,Yalova,Merkez,,,6+2,Yerden Isıtma,Hayır,3,Evet,Evet
26743,2700000,Yalova,Merkez,,,6+2,3,Sıfır,3,Yerden Isıtma,Evet
28691,1250000,İzmir,Selçuk,Gökçealan Mah.,,3+1,1,5-10 Arası,2,Merkezi Sistem,Evet
26765,2450000,Yalova,Merkez,,,6+2,3,Sıfır,3,Yerden Isıtma,Evet
26869,2850000,İstanbul,Şile,Ağva Merkez Mah.,,5+1,5,,2,Doğalgaz (Kombi),Evet
26893,6000000,Ordu,Altınordu,,,8+1,3,11-15 Arası,2,Doğalgaz (Kombi),Evet
27261,1400000,İstanbul,Büyükçekmece,Fatıh Mah.,,4+1,2,5-10 Arası,3,Doğalgaz (Kombi),Evet
27225,3500000,Antalya,Alanya,,,4+1,3,16-20 Arası,5,Klima,Bilinmiyor
27335,481000000.0,Kocaeli,Gebze,,7,4+1,1 Yaşından Küçük,,Evet,Hayır,Hayır
27443,1850000,Bursa,Osmangazi,,,3+1,2,5-10 Arası,4,Yerden Isıtma,Evet
26926,9750000.0,Sakarya,Sapanca,Ünlüce Mah.,,5+1,,İnşaat Halinde,2,,Evet
24631,42000000,İstanbul,Eyüp,Mithatpaşa Mah.,,6+2,4,11-15 Arası,4,Isı Pompası,Evet
24715,2762500.0,İzmir,Bayraklı,,,3+1,2,16-20 Arası,7,Doğalgaz (Kombi),Evet
24647,600000,İzmir,Buca,Yiğitler Mah.,,3+1,2,16-20 Arası,3,Doğalgaz (Kombi),Evet
28146,1350000,İstanbul,Beşiktaş,Dikilitaş Mah.,,3+1,2,30+,6,Merkezi Sistem,Evet
29481,10887500.0,Muğla,Marmaris,Armutalan Mah.,,4+1,3,21-25 Arası,2,Isı Pompası,Evet
24851,3000000,Kocaeli,Körfez,Güney Mah.,,3+1,2,30+,2,Doğalgaz (Kombi),Bilinmiyor
27406,3100000,Muğla,Ula,Akyaka Mah.,,5+2,,Hayır,4,Boş,Villa Tipi
26446,9750000.0,İstanbul,Beykoz,,,6+3,3,4,3,Doğalgaz (Kombi),Evet
25082,6650000,İstanbul,Zeytinburnu,,,4+2,2,1,3,Doğalgaz (Kombi),Evet
26540,750000,İstanbul,Esenyurt,Koza Mah.,,3+1,2,5-10 Arası,12,Merkezi Sistem,
26318,8125000.0,İstanbul,Beykoz,Riva Mah.,,4+2,2,11-15 Arası,2,Klima,Evet
25149,1995000,Ankara,Çankaya,,,8+2,5,5-10 Arası,4,Doğalgaz (Kombi),Evet
23155,7312500.0,Ankara,Güdül,Yeni Mah.,,6+1,3,11-15 Arası,2,Merkezi Sistem,Evet
27348,7250000,Ankara,Çankaya,Mutlukent Mah.,,6+2,4,2,4,Yerden Isıtma,Evet
23178,11000000,Sakarya,Sapanca,,,6+3,,16-20 Arası,3,,
26662,11000000,İstanbul,Zeytinburnu,,,5+1,3,5-10 Arası,30+,Merkezi Sistem,Evet
23613,22750000.0,Yalova,Çınarcık,,,6+1,4,4,3,Doğalgaz (Kombi),
26658,1150000,Kocaeli,Başiskele,Körfez Mah.,,5+1,2,1 Yaşından Küçük,3,Doğalgaz (Kombi),Evet
23664,1575000,Bursa,Osmangazi,Çekirge Mah.,,7+1,5,26-30 Arası,6,Merkezi Sistem,Bilinmiyor
24112,4712500.0,İstanbul,Avcılar,,,3+1,2,1 Yaşından Küçük,22,Merkezi Sistem,Evet
23434,1462500.0,Sakarya,Kaynarca,Arifağa Mah.,,3+1,,,1,,
24304,1450000,Bursa,Mudanya,,,4+2,3,1 Yaşından Küçük,3,Yerden Isıtma,Evet
23420,9000000,İzmir,Urla,İskele Mah.,,3+1,,1 Yaşından Küçük,2,Klima,Bilinmiyor
19980,5200000.0,Aydın,Kuşadası,Kadınlar Denizi Mah.,,4+1,2,11-15 Arası,3,Doğalgaz (Kombi),Evet
24302,1800000,Bursa,Mudanya,,,5+1,2,21-25 Arası,3,Doğalgaz (Kombi),Evet
23061,123500000.0,İstanbul,Kartal,,,5+2,5,5-10 Arası,3,Doğalgaz (Kombi),Evet
21589,5250000,Samsun,Atakum,,,5+2,3,16-20 Arası,3,Doğalgaz (Kombi),Evet
20053,11375000.0,İstanbul,Esenyurt,Ardıçlı Mah.,,4+1,2,16-20 Arası,2,Doğalgaz (Kombi),Evet
21739,30000000,İstanbul,Bakırköy,Yeşilköy Mah.,,10+,,,7,,Evet
26791,2500000,Yalova,Merkez,,,6+2,3,Sıfır,3,Yerden Isıtma,Evet
21719,1300000000.0,İstanbul,Sarıyer,Yeniköy Mah.,,10+,,,,,
20654,4062500.0,İstanbul,Pendik,,,3+1,2,1 Yaşından Küçük,12,Doğalgaz (Kombi),Evet
23312,4387500.0,Sakarya,Sapanca,Ünlüce Mah.,,3+1,1,11-15 Arası,2,Doğalgaz (Kombi),Evet
22040,2600000,Sakarya,Akyazı,,,6+2,5,Sıfır,3,Klima,Evet
22292,55000,Balıkesir,Edremit,,,1+1,1,5-10 Arası,4,Jeotermal,
24586,2550000,İstanbul,Sarıyer,Merkez Mah.,,2+1,Merkezi Sistem,Hayır,19,Evet,Evet
16741,8500000,Muğla,Bodrum,,,4+2,3,5-10 Arası,2,Merkezi Sistem,Evet
16689,52500000,Muğla,Bodrum,,,5+1,,,,,
19079,18850000.0,İstanbul,Şile,,,10 ve üzeri,3,1,3,Doğalgaz (Kombi),Evet
22695,28600000.0,Muğla,Ula,,,6+1,,,2,Doğalgaz (Kombi),Evet
16798,2500000,İstanbul,Büyükçekmece,,,10+2,,,,,Evet
16530,2400000,İstanbul,Büyükçekmece,,,7+3,4,11-15 Arası,4,Doğalgaz (Kombi),Evet
17396,4192500.0,İstanbul,Maltepe,Küçükyalı Mah.,,2+1,2,1 Yaşından Küçük,6,Doğalgaz (Kombi),Evet
18832,4387500.0,İstanbul,Fatih,,,3+1,2,30+,5,Doğalgaz (Kombi),Evet
17862,10075000.0,Bursa,Nilüfer,Demirci Mah.,,5+1,5,3,3,Doğalgaz (Kombi),Evet
17238,10500000,İstanbul,Büyükçekmece,,,4+2,5,,3,,
13136,89375000.0,Bursa,Mudanya,Bademli Mah.,,,2,Sıfır,3,Yerden Isıtma,Evet
16580,4000000,İstanbul,Beşiktaş,Ortaköy Mah.,,3+1,3,Sıfır,4,Doğalgaz (Kombi),Evet
17961,21125000.0,İstanbul,Çatalca,,,10+2,7,4,4,Doğalgaz (Kombi),Evet
18670,4387500.0,Bursa,Mudanya,Güzelyalı Burgaz Mah.,,3+2,3,3,2,Doğalgaz (Kombi),Evet
16219,9750000.0,İstanbul,Beşiktaş,,,2+1,2,1 Yaşından Küçük,30+,Yerden Isıtma,Bilinmiyor
12921,27625000.0,İstanbul,Sarıyer,Uskumruköy Mah.,,4+1,3,2,3,Doğalgaz (Kombi),Evet
22818,81250000.0,Ankara,Çankaya,,,10+,6+,Sıfır,8,Merkezi Sistem,Evet
18936,9100000.0,İzmir,Karşıyaka,Bostanlı Mah.,,5+1,3,1 Yaşından Küçük,4,Doğalgaz (Kombi),Evet
22204,2500000,Bolu,Mengen,Bürnük Köyü,,4+1,2,1,2,Merkezi Sistem,Evet
16297,2960000,İstanbul,Beşiktaş,,,3+1,1,30+,5,Merkezi Sistem,Evet
15556,8125000.0,İzmir,Dikili,Cumhuriyet Mah.,,5,2,1 Yaşından Küçük,3,Klima,Evet
16336,3900000.0,İstanbul,Ataşehir,Aşık Veysel Mah.,,4+1,3,5-10 Arası,10,Doğalgaz (Kombi),Evet
